,iata,iso,name,continent,type,lat,lon,size,status
3230,GLN,MA,Goulimime Airport,AF,airport,29.016666,-10.066667,small,1
3231,GDT,TC,JAGS McCartney International Airport,NA,airport,21.466667,-71.13333,medium,1
3232,MDS,TC,Middle Caicos Airport,NA,airport,21.783333,-71.71667,small,1
3233,NCA,TC,North Caicos Airport,NA,airport,21.933332,-71.98333,medium,1
3234,PIC,TC,Pine Cay Airport,NA,airport,21.883333,-72.1,small,1
3235,PLS,TC,Providenciales Airport,NA,airport,21.769167,-72.26833,medium,1
3236,XSC,TC,South Caicos Airport,NA,airport,21.515833,-71.529724,medium,1
3237,SLX,TC,Salt Cay Airport,NA,airport,21.333332,-71.20167,small,1
3238,EPS,DO,Arroyo Barril International Airport,NA,airport,19.25,-69.5,medium,1
3239,BRX,DO,Maria Montez International Airport,NA,airport,18.216667,-71.11667,medium,1
3240,CBJ,DO,Cabo Rojo Airport,NA,airport,17.933332,-71.65,medium,1
3241,AZS,DO,,NA,airport,19.270555,-69.736946,small,1
3242,COZ,DO,Constanza Dom Re Airport,NA,airport,18.9,-70.71667,small,1
3243,HEX,DO,Herrera Airport,NA,closed,,,,0
3244,JBQ,DO,La Isabela International Airport,NA,airport,18.575731,-69.98144,medium,1
3245,LRM,DO,Casa De Campo International Airport,NA,airport,18.416668,-68.9,medium,1
3246,PUJ,DO,Punta Cana International Airport,NA,airport,18.562477,-68.364,medium,1
3247,POP,DO,Gregorio Luperon International Airport,NA,airport,19.754942,-70.56315,medium,1
3248,MDR,US,Medfra Airport,NA,airport,63.106945,-154.71666,small,1
3249,SNX,DO,Sabana de Mar Airport,NA,airport,19.116667,-69.4,small,1
3250,SDQ,DO,,NA,airport,18.430124,-69.67674,large,1
3251,SJM,DO,San Juan Airport,NA,closed,,,,0
3252,STI,DO,Cibao International Airport,NA,airport,19.404486,-70.603355,medium,1
3253,DOA,MG,Doany Airport,AF,airport,-14.366667,49.5,small,1
3254,CBV,GT,Coban Airport,NA,airport,15.471667,-90.409164,medium,1
3255,CMM,GT,Carmelita Airport,NA,airport,17.458332,-90.05333,small,1
3256,CTF,GT,Coatepeque Airport,NA,airport,14.766667,-91.916664,small,1
3257,GUA,GT,La Aurora Airport,NA,airport,14.588071,-90.53068,medium,1
3258,HUG,GT,Huehuetenango Airport,NA,airport,15.333333,-91.46667,small,1
3259,MCR,GT,Melchor de Mencos Airport,NA,airport,17.0,-92.00833,small,1
3260,PBR,GT,Puerto Barrios Airport,NA,airport,15.723056,-88.60611,medium,1
3261,PON,GT,,NA,airport,16.35,-89.433334,small,1
3262,AQB,GT,Santa Cruz del Quiche Airport,NA,airport,,,small,1
3263,AAZ,GT,Quezaltenango Airport,NA,airport,,,small,1
3264,RUV,GT,Rubelsanto Airport,NA,airport,15.833333,-90.333336,medium,1
3265,RER,GT,Retalhuleu Airport,NA,airport,14.520278,-91.696945,medium,1
3266,GSJ,GT,,NA,airport,,,medium,1
3267,FRS,GT,Mundo Maya International Airport,NA,airport,16.916668,-89.88333,medium,1
3268,AIM,MH,Ailuk Airport,OC,airport,10.2,169.98334,small,1
3269,AUL,MH,Aur Island Airport,OC,airport,8.133333,171.16667,small,1
3270,BII,MH,Enyu Airfield,OC,airport,11.525081,165.56512,small,1
3271,EBN,MH,Ebadon Airport,OC,airport,9.333333,166.8,small,1
3272,JAT,MH,Jabot Airport,OC,airport,7.75,168.96666,small,1
3273,JEJ,MH,Jeh Airport,OC,airport,7.569916,168.96513,small,1
3274,KBT,MH,Kaben Airport,OC,airport,9.166667,170.91667,small,1
3275,LIK,MH,Likiep Airport,OC,airport,9.816667,169.31667,small,1
3276,LML,MH,Lae Island Airport,OC,airport,8.916667,166.25,small,1
3277,MAV,MH,Maloelap Island Airport,OC,airport,8.75,171.1,small,1
3278,MJB,MH,Mejit Atoll Airport,OC,airport,10.283333,170.88333,small,1
3279,MJE,MH,Majkin Airport,OC,airport,9.0,170.0,small,1
3280,NDK,MH,Namorik Atoll Airport,OC,airport,5.633333,168.11667,small,1
3281,RNP,MH,Rongelap Island Airport,OC,airport,11.15,166.88333,small,1
3282,TIC,MH,Tinak Airport,OC,airport,7.05,171.78334,small,1
3283,UIT,MH,Jaluit Airport,OC,airport,5.833333,169.61667,small,1
3284,WJA,MH,Woja Airport,OC,airport,7.453653,168.55296,small,1
3285,WTE,MH,Wotje Atoll Airport,OC,airport,9.45,170.26666,small,1
3286,WTO,MH,Wotho Island Airport,OC,airport,10.166667,166.03334,small,1
3287,AHS,HN,Ahuas Airport,NA,airport,15.441667,-84.425,small,1
3288,BHG,HN,Brus Laguna Airport,NA,airport,15.734722,-84.543335,small,1
3289,CAA,HN,Catacamas Airport,NA,airport,14.830556,-85.89445,small,1
3290,CDD,HN,Cauquira Airport,NA,airport,15.322222,-83.602776,small,1
3291,JUT,HN,Jutigalpa airport,NA,airport,14.673333,-86.29305,small,1
3292,LCE,HN,Goloson International Airport,NA,airport,15.740556,-86.85722,medium,1
3293,LEZ,HN,La Esperanza Airport,NA,airport,14.25,-88.166664,small,1
3294,SAP,HN,,NA,airport,15.456245,-87.927795,medium,1
